dataset;ranking
yelp.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
movietweetings_recsys2014.csv;GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel,BiasedMatrixFactorization,SigmoidUserAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel
amazon-apps.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,LatentFeatureLogLinearModel,GlobalAverage,UserItemBaseline,MatrixFactorization
amazon-cd.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,MatrixFactorization,GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel
amazon-food.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-tools.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
yahoo-music.csv;SVDPlusPlus,SigmoidUserAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,GlobalAverage,UserItemBaseline,SigmoidItemAsymmetricFactorModel,BiasedMatrixFactorization,LatentFeatureLogLinearModel
amazon-office.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
bookcrossing.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidUserAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,MatrixFactorization,GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel
amazon-health.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-toys.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
